order_id	order_item_id	created_at	order_item_name	order_item_net_price	order_item_gross_price	order_item_quantity	customer_first_name	customer_last_name	customer_email	customer_mobile	customer_id	order_item_product_sku	order_item_product_sku_base	order_item_product_type	order_item_is_add_on	order_item_tax	order_item_discount	order_item_category	order_item_brand	order_item_currency	delivery_address_country	delivery_address_city	delivery_address_po	website_domain	promotion_code	promotion_name	promotion_campaign	promotion_campaign_type	promotion_discount_type	promotion_customer_type	promotion_medium	promotion_source	confirmed_at	scheduled_delivery_at	scheduled_dispatch_at	carrier	carrier_service_name	fulfillment_company	fulfillment_company_branch	fulfillment_company_branch_code	ip_number	ip_address	type	payment_id	order_item_cost	customer_language	subscription_order_id
214688477	1496713	2023-01-15 13:50:13.087000000	urban love song	12	14.99	1	James	Test1	egnition_sample_3@egnition.com			102344	102344							gbp	uk												2023-01-15 13:52:05.123000000	2023-01-16 00:00:00	2023-01-15 00:00:00								sale	625222		en	1496713
214688477	1496713	2023-01-15 13:50:13.087000000	urban love song	12	14.99	1	James	Test1	egnition_sample_3@egnition.com			102344	102344							gbp	uk												2023-01-15 13:52:05.123000000	2023-01-16 00:00:00	2023-01-15 00:00:00								sale	819349		en	1496713
214690050	1499820	2023-01-16 05:47:09.023000000	beautiful smile	24	29.99	1	Rajani	Test2	egnition_sample_2@egnition.com			1210	1210							gbp	uk												2023-01-16 06:33:21.473000000	2023-01-17 00:00:00	2023-01-16 00:00:00								sale	626274		en	1499820
214690050	1499849	2023-01-16 05:47:09.023000000	birthday card butterfly	2.4	2.99	1	Rajani	Test2	egnition_sample_2@egnition.com			97565	97565							gbp	uk												2023-01-16 06:33:21.473000000	2023-01-17 00:00:00	2023-01-16 00:00:00								sale	626274		en	1499849
214690100	1499909	2023-01-16 07:09:40.930000000	sugar hill	20	24.99	1	Mel	Test3	egnition_sample_1@egnition.com			1134	1134							gbp	uk												2023-01-16 07:25:12.050000000	2023-01-17 00:00:00	2023-01-16 00:00:00								sale	626283		en	1499909
214690104	1499983	2023-01-16 07:11:21.400000000	beautiful smile	24	29.99	1	Lynne	Test4	egnition_sample_3@egnition.com			1210	1210							gbp	uk												2023-01-16 07:56:47.680000000	2023-01-18 00:00:00	2023-01-17 00:00:00								sale	626298		en	1499983
214690104	1499898	2023-01-16 07:11:21.400000000	luxury pralines 110g	4.8	5.99	1	Lynne	Test4	egnition_sample_3@egnition.com			85706	85706							gbp	uk												2023-01-16 07:56:47.680000000	2023-01-18 00:00:00	2023-01-17 00:00:00								sale	626298		en	1499898
214690104	1499986	2023-01-16 07:11:21.400000000	luxury pralines 110g	4.8	5.99	1	Lynne	Test4	egnition_sample_3@egnition.com			85706	85706							gbp	uk												2023-01-16 07:56:47.680000000	2023-01-18 00:00:00	2023-01-17 00:00:00								sale	626298		en	1499986
214690104	1499947	2023-01-16 07:11:21.400000000	new home card	2.4	2.99	1	Lynne	Test4	egnition_sample_3@egnition.com			98216	98216							gbp	uk												2023-01-16 07:56:47.680000000	2023-01-18 00:00:00	2023-01-17 00:00:00								sale	626298		en	1499947
214690109	1499910	2023-01-16 07:18:15.300000000	white tulips in giftbag	24	29.99	1	Jo		egnition_sample_1@egnition.com			99987	99987							gbp	uk												2023-01-16 07:27:06.003000000	2023-01-17 00:00:00	2023-01-16 00:00:00								sale	626285		en	1499910
